    411.97     394.82       0.00       6.55       0.00       0.98       1.86       0.00     372.56       3.97       1.02      15.15       0.00       0.00       0.00       0.00       5.14       1.65
    421.70     404.11       0.00       6.72       0.00       1.01       1.90       0.00     381.29       4.08       1.05      15.53       0.00       0.00       0.00       0.00       5.27       1.69
    431.39     413.37       0.00       6.90       0.00       1.03       1.95       0.00     389.98       4.18       1.08      15.90       0.00       0.00       0.00       0.00       5.41       1.74
    440.99     422.52       0.00       7.09       0.00       1.06       2.00       0.00     398.63       4.28       1.10      16.22       0.00       0.00       0.00       0.00       5.53       1.79
    450.54     431.63       0.00       7.27       0.00       1.08       2.05       0.00     407.24       4.39       1.13      16.54       0.00       0.00       0.00       0.00       5.66       1.85
    460.05     440.70       0.00       7.45       0.00       1.11       2.10       0.00     415.80       4.49       1.16      16.86       0.00       0.00       0.00       0.00       5.79       1.90
    469.52     449.73       0.00       7.64       0.00       1.13       2.15       0.00     424.32       4.60       1.18      17.18       0.00       0.00       0.00       0.00       5.92       1.96
    478.95     458.71       0.00       7.82       0.00       1.16       2.20       0.00     432.80       4.71       1.21      17.49       0.00       0.00       0.00       0.00       6.06       2.01
    488.33     467.65       0.00       8.00       0.00       1.19       2.25       0.00     441.23       4.81       1.24      17.81       0.00       0.00       0.00       0.00       6.19       2.06
    497.68     476.55       0.00       8.18       0.00       1.21       2.30       0.00     449.62       4.92       1.27      18.13       0.00       0.00       0.00       0.00       6.32       2.12
    506.99     485.41       0.00       8.39       0.00       1.24       2.35       0.00     457.97       5.02       1.29      18.45       0.00       0.00       0.00       0.00       6.43       2.18
    516.25     494.22       0.00       8.58       0.00       1.26       2.40       0.00     466.28       5.13       1.32      18.77       0.00       0.00       0.00       0.00       6.55       2.24
    525.47     503.00       0.00       8.77       0.00       1.28       2.44       0.00     474.54       5.24       1.35      19.10       0.00       0.00       0.00       0.00       6.67       2.30
    534.65     511.73       0.00       8.96       0.00       1.31       2.49       0.00     482.76       5.35       1.37      19.42       0.00       0.00       0.00       0.00       6.80       2.36
    543.79     520.42       0.00       9.15       0.00       1.33       2.54       0.00     490.95       5.45       1.40      19.74       0.00       0.00       0.00       0.00       6.92       2.41
    552.96     529.13       0.00       9.34       0.00       1.36       2.59       0.00     499.10       5.56       1.43      20.11       0.00       0.00       0.00       0.00       7.05       2.47
    562.01     537.73       0.00       9.53       0.00       1.38       2.64       0.00     507.20       5.66       1.46      20.42       0.00       0.00       0.00       0.00       7.17       2.53
    571.02     546.29       0.00       9.72       0.00       1.41       2.69       0.00     515.27       5.77       1.48      20.73       0.00       0.00       0.00       0.00       7.30       2.59
    580.00     554.81       0.00       9.91       0.00       1.43       2.74       0.00     523.29       5.87       1.51      21.04       0.00       0.00       0.00       0.00       7.43       2.64
    588.93     563.29       0.00      10.10       0.00       1.46       2.79       0.00     531.27       5.98       1.53      21.35       0.00       0.00       0.00       0.00       7.57       2.69
    597.83     571.73       0.00      10.30       0.00       1.48       2.84       0.00     539.22       6.08       1.56      21.66       0.00       0.00       0.00       0.00       7.69       2.76
    606.69     580.13       0.00      10.50       0.00       1.51       2.89       0.00     547.13       6.19       1.59      21.96       0.00       0.00       0.00       0.00       7.81       2.81
    615.51     588.50       0.00      10.71       0.00       1.53       2.94       0.00     555.00       6.29       1.61      22.27       0.00       0.00       0.00       0.00       7.92       2.87
    624.28     596.82       0.00      10.91       0.00       1.56       2.99       0.00     562.83       6.40       1.64      22.58       0.00       0.00       0.00       0.00       8.04       2.93
    633.03     605.10       0.00      11.11       0.00       1.58       3.04       0.00     570.62       6.50       1.66      22.89       0.00       0.00       0.00       0.00       8.16       2.99
    641.74     613.35       0.00      11.32       0.00       1.61       3.09       0.00     578.37       6.61       1.69      23.19       0.00       0.00       0.00       0.00       8.28       3.05
    650.40     621.55       0.00      11.53       0.00       1.63       3.14       0.00     586.08       6.71       1.72      23.50       0.00       0.00       0.00       0.00       8.39       3.12
    659.06     629.75       0.00      11.74       0.00       1.66       3.19       0.00     593.76       6.82       1.74      23.83       0.00       0.00       0.00       0.00       8.50       3.18
    667.70     637.92       0.00      11.95       0.00       1.68       3.24       0.00     601.40       6.93       1.77      24.17       0.00       0.00       0.00       0.00       8.61       3.25
    676.30     646.04       0.00      12.16       0.00       1.71       3.28       0.00     609.00       7.04       1.80      24.50       0.00       0.00       0.00       0.00       8.74       3.31
    684.86     654.13       0.00      12.39       0.00       1.73       3.33       0.00     616.57       7.15       1.82      24.83       0.00       0.00       0.00       0.00       8.85       3.37
    693.38     662.18       0.00      12.61       0.00       1.76       3.38       0.00     624.10       7.26       1.85      25.16       0.00       0.00       0.00       0.00       8.96       3.43
    701.87     670.20       0.00      12.82       0.00       1.78       3.43       0.00     631.59       7.37       1.87      25.49       0.00       0.00       0.00       0.00       9.07       3.50
    710.27     678.12       0.00      13.04       0.00       1.81       3.48       0.00     639.05       7.48       1.90      25.77       0.00       0.00       0.00       0.00       9.19       3.57
    718.66     686.05       0.00      13.25       0.00       1.83       3.53       0.00     646.48       7.59       1.93      26.07       0.00       0.00       0.00       0.00       9.31       3.63
    727.02     693.94       0.00      13.47       0.00       1.86       3.58       0.00     653.88       7.70       1.95      26.37       0.00       0.00       0.00       0.00       9.42       3.69
    735.34     701.78       0.00      13.68       0.00       1.88       3.63       0.00     661.23       7.81       1.98      26.67       0.00       0.00       0.00       0.00       9.54       3.75
    743.63     709.60       0.00      13.90       0.00       1.91       3.68       0.00     668.56       7.92       2.01      26.97       0.00       0.00       0.00       0.00       9.66       3.82
    751.88     717.37       0.00      14.12       0.00       1.93       3.73       0.00     675.84       8.03       2.03      27.27       0.00       0.00       0.00       0.00       9.78       3.88
    752.29     717.49       0.00      14.33       0.00       1.96       3.73       0.00     675.85       8.13       2.03      27.27       0.00       0.00       0.00       0.00       9.78       3.93
    760.49     725.23       0.00      14.55       0.00       1.98       3.78       0.00     683.10       8.24       2.06      27.56       0.00       0.00       0.00       0.00       9.90       3.99
    760.91     725.35       0.00      14.76       0.00       2.00       3.78       0.00     683.10       8.35       2.06      27.56       0.00       0.00       0.00       0.00       9.90       4.04
    769.09     733.05       0.00      14.98       0.00       2.03       3.83       0.00     690.32       8.46       2.09      27.86       0.00       0.00       0.00       0.00      10.02       4.09
    769.50     733.17       0.00      15.20       0.00       2.05       3.83       0.00     690.32       8.56       2.09      27.86       0.00       0.00       0.00       0.00      10.02       4.15
    777.64     740.84       0.00      15.41       0.00       2.08       3.88       0.00     697.51       8.67       2.11      28.15       0.00       0.00       0.00       0.00      10.14       4.21
    778.05     740.96       0.00      15.63       0.00       2.11       3.89       0.00     697.51       8.78       2.11      28.16       0.00       0.00       0.00       0.00      10.14       4.26
    778.11     740.98       0.00      15.63       0.00       2.13       3.89       0.00     697.52       8.78       2.11      28.16       0.00       0.00       0.00       0.00      10.14       4.26
    786.17     748.57       0.00      15.85       0.00       2.16       3.94       0.00     704.66       8.89       2.14      28.41       0.00       0.00       0.00       0.00      10.25       4.32
    786.57     748.69       0.00      16.05       0.00       2.19       3.94       0.00     704.67       8.99       2.14      28.41       0.00       0.00       0.00       0.00      10.25       4.37
    786.62     748.70       0.00      16.05       0.00       2.22       3.94       0.00     704.67       8.99       2.14      28.41       0.00       0.00       0.00       0.00      10.25       4.37
    786.68     748.72       0.00      16.05       0.00       2.25       3.95       0.00     704.68       8.99       2.14      28.41       0.00       0.00       0.00       0.00      10.25       4.37
    794.70     756.27       0.00      16.27       0.00       2.27       4.00       0.00     711.79       9.10       2.17      28.66       0.00       0.00       0.00       0.00      10.37       4.43
    795.11     756.39       0.00      16.49       0.00       2.30       4.00       0.00     711.79       9.21       2.17      28.66       0.00       0.00       0.00       0.00      10.37       4.48
    795.17     756.40       0.00      16.49       0.00       2.34       4.00       0.00     711.80       9.21       2.17      28.66       0.00       0.00       0.00       0.00      10.37       4.48
    795.22     756.42       0.00      16.49       0.00       2.36       4.01       0.00     711.80       9.21       2.17      28.66       0.00       0.00       0.00       0.00      10.37       4.48
    803.21     763.93       0.00      16.71       0.00       2.38       4.06       0.00     718.88       9.32       2.19      28.90       0.00       0.00       0.00       0.00      10.49       4.54
    803.62     764.06       0.00      16.92       0.00       2.42       4.06       0.00     718.89       9.42       2.19      28.90       0.00       0.00       0.00       0.00      10.49       4.59
    803.67     764.07       0.00      16.92       0.00       2.45       4.06       0.00     718.89       9.42       2.20      28.90       0.00       0.00       0.00       0.00      10.49       4.59
    803.72     764.09       0.00      16.92       0.00       2.47       4.07       0.00     718.89       9.42       2.20      28.91       0.00       0.00       0.00       0.00      10.49       4.59
    811.72     771.56       0.00      17.13       0.00       2.50       4.12       0.00     725.94       9.53       2.22      29.15       0.00       0.00       0.00       0.00      10.61       4.65
    812.13     771.69       0.00      17.34       0.00       2.53       4.12       0.00     725.94       9.64       2.22      29.15       0.00       0.00       0.00       0.00      10.61       4.70
    812.18     771.70       0.00      17.34       0.00       2.56       4.12       0.00     725.95       9.64       2.22      29.15       0.00       0.00       0.00       0.00      10.61       4.70
    812.23     771.72       0.00      17.34       0.00       2.59       4.13       0.00     725.95       9.64       2.22      29.15       0.00       0.00       0.00       0.00      10.61       4.70
    820.15     779.16       0.00      17.56       0.00       2.61       4.18       0.00     732.96       9.75       2.25      29.39       0.00       0.00       0.00       0.00      10.73       4.76
    820.56     779.28       0.00      17.77       0.00       2.64       4.18       0.00     732.97       9.85       2.25      29.39       0.00       0.00       0.00       0.00      10.73       4.81
    820.61     779.30       0.00      17.77       0.00       2.68       4.18       0.00     732.97       9.85       2.25      29.39       0.00       0.00       0.00       0.00      10.73       4.81
    820.66     779.31       0.00      17.77       0.00       2.70       4.19       0.00     732.98       9.85       2.25      29.39       0.00       0.00       0.00       0.00      10.73       4.81
    828.55     786.72       0.00      17.99       0.00       2.72       4.24       0.00     739.96       9.96       2.28      29.63       0.00       0.00       0.00       0.00      10.84       4.88
    828.96     786.84       0.00      18.20       0.00       2.76       4.24       0.00     739.96      10.07       2.28      29.63       0.00       0.00       0.00       0.00      10.84       4.93
    829.02     786.86       0.00      18.20       0.00       2.79       4.24       0.00     739.96      10.07       2.28      29.63       0.00       0.00       0.00       0.00      10.84       4.93
    829.07     786.87       0.00      18.20       0.00       2.81       4.25       0.00     739.97      10.07       2.28      29.63       0.00       0.00       0.00       0.00      10.84       4.93
    836.92     794.24       0.00      18.43       0.00       2.84       4.30       0.00     746.91      10.18       2.30      29.86       0.00       0.00       0.00       0.00      10.96       4.99
    837.34     794.36       0.00      18.64       0.00       2.87       4.30       0.00     746.92      10.29       2.30      29.86       0.00       0.00       0.00       0.00      10.96       5.05
    837.39     794.38       0.00      18.64       0.00       2.90       4.30       0.00     746.92      10.29       2.30      29.87       0.00       0.00       0.00       0.00      10.96       5.05
    837.44     794.40       0.00      18.64       0.00       2.93       4.31       0.00     746.93      10.29       2.30      29.87       0.00       0.00       0.00       0.00      10.96       5.05
    845.26     801.74       0.00      18.86       0.00       2.95       4.36       0.00     753.84      10.40       2.33      30.10       0.00       0.00       0.00       0.00      11.08       5.11
    845.67     801.85       0.00      19.08       0.00       2.98       4.36       0.00     753.84      10.50       2.33      30.10       0.00       0.00       0.00       0.00      11.08       5.16
    845.73     801.88       0.00      19.08       0.00       3.02       4.36       0.00     753.84      10.50       2.33      30.11       0.00       0.00       0.00       0.00      11.08       5.16
    845.79     801.89       0.00      19.08       0.00       3.05       4.37       0.00     753.85      10.50       2.33      30.11       0.00       0.00       0.00       0.00      11.08       5.16
    845.84     801.91       0.00      19.08       0.00       3.07       4.37       0.00     753.85      10.50       2.33      30.11       0.00       0.00       0.00       0.00      11.08       5.16
    853.64     809.22       0.00      19.30       0.00       3.10       4.42       0.00     760.73      10.62       2.36      30.35       0.00       0.00       0.00       0.00      11.20       5.23
    854.04     809.34       0.00      19.51       0.00       3.13       4.42       0.00     760.73      10.72       2.36      30.35       0.00       0.00       0.00       0.00      11.20       5.27
    854.10     809.35       0.00      19.51       0.00       3.17       4.42       0.00     760.74      10.72       2.36      30.36       0.00       0.00       0.00       0.00      11.20       5.27
    854.15     809.37       0.00      19.51       0.00       3.20       4.43       0.00     760.74      10.72       2.36      30.36       0.00       0.00       0.00       0.00      11.20       5.27
    854.21     809.39       0.00      19.51       0.00       3.23       4.43       0.00     760.75      10.72       2.36      30.36       0.00       0.00       0.00       0.00      11.20       5.27
    854.26     809.41       0.00      19.51       0.00       3.27       4.43       0.00     760.75      10.72       2.36      30.36       0.00       0.00       0.00       0.00      11.20       5.27
    854.32     809.42       0.00      19.51       0.00       3.30       4.44       0.00     760.76      10.72       2.36      30.37       0.00       0.00       0.00       0.00      11.20       5.27
    854.37     809.44       0.00      19.51       0.00       3.32       4.44       0.00     760.76      10.72       2.36      30.37       0.00       0.00       0.00       0.00      11.20       5.27
    862.12     816.72       0.00      19.74       0.00       3.35       4.49       0.00     767.60      10.83       2.39      30.61       0.00       0.00       0.00       0.00      11.31       5.34
    862.53     816.84       0.00      19.94       0.00       3.38       4.49       0.00     767.61      10.94       2.39      30.61       0.00       0.00       0.00       0.00      11.31       5.39
    862.58     816.85       0.00      19.94       0.00       3.41       4.50       0.00     767.61      10.94       2.39      30.61       0.00       0.00       0.00       0.00      11.31       5.39
    862.65     816.88       0.00      19.94       0.00       3.45       4.50       0.00     767.62      10.94       2.39      30.62       0.00       0.00       0.00       0.00      11.31       5.39
    862.70     816.89       0.00      19.94       0.00       3.47       4.50       0.00     767.62      10.94       2.39      30.62       0.00       0.00       0.00       0.00      11.31       5.39
    870.43     824.14       0.00      20.16       0.00       3.49       4.55       0.00     774.43      11.05       2.41      30.86       0.00       0.00       0.00       0.00      11.44       5.46
    870.85     824.25       0.00      20.38       0.00       3.53       4.56       0.00     774.44      11.15       2.41      30.86       0.00       0.00       0.00       0.00      11.44       5.52
    870.91     824.28       0.00      20.38       0.00       3.56       4.56       0.00     774.44      11.15       2.41      30.87       0.00       0.00       0.00       0.00      11.44       5.52
    870.97     824.30       0.00      20.38       0.00       3.58       4.56       0.00     774.45      11.15       2.42      30.87       0.00       0.00       0.00       0.00      11.44       5.52
    878.66     831.51       0.00      20.60       0.00       3.61       4.61       0.00     781.22      11.26       2.44      31.12       0.00       0.00       0.00       0.00      11.55       5.58
    879.08     831.63       0.00      20.82       0.00       3.64       4.62       0.00     781.23      11.36       2.44      31.12       0.00       0.00       0.00       0.00      11.55       5.63
    879.15     831.66       0.00      20.82       0.00       3.67       4.62       0.00     781.24      11.36       2.44      31.13       0.00       0.00       0.00       0.00      11.55       5.63
    879.20     831.68       0.00      20.82       0.00       3.70       4.62       0.00     781.24      11.36       2.44      31.13       0.00       0.00       0.00       0.00      11.55       5.63
    886.85     838.85       0.00      21.05       0.00       3.72       4.67       0.00     787.99      11.47       2.47      31.37       0.00       0.00       0.00       0.00      11.67       5.70
    887.27     838.98       0.00      21.26       0.00       3.76       4.67       0.00     787.99      11.58       2.47      31.37       0.00       0.00       0.00       0.00      11.67       5.75
    887.36     839.02       0.00      21.26       0.00       3.79       4.68       0.00     788.00      11.58       2.47      31.39       0.00       0.00       0.00       0.00      11.67       5.75
    887.41     839.04       0.00      21.26       0.00       3.81       4.68       0.00     788.00      11.58       2.47      31.39       0.00       0.00       0.00       0.00      11.67       5.75
    895.04     846.18       0.00      21.49       0.00       3.84       4.73       0.00     794.71      11.69       2.50      31.63       0.00       0.00       0.00       0.00      11.78       5.82
    895.46     846.31       0.00      21.70       0.00       3.87       4.73       0.00     794.72      11.81       2.50      31.63       0.00       0.00       0.00       0.00      11.78       5.87
    895.55     846.36       0.00      21.70       0.00       3.90       4.74       0.00     794.73      11.81       2.50      31.66       0.00       0.00       0.00       0.00      11.78       5.87
    895.61     846.38       0.00      21.70       0.00       3.93       4.74       0.00     794.74      11.81       2.50      31.66       0.00       0.00       0.00       0.00      11.78       5.87
    903.23     853.51       0.00      21.92       0.00       3.95       4.79       0.00     801.41      11.92       2.53      31.92       0.00       0.00       0.00       0.00      11.90       5.94
    903.65     853.63       0.00      22.14       0.00       3.98       4.79       0.00     801.42      12.02       2.53      31.93       0.00       0.00       0.00       0.00      11.90       5.99
    903.76     853.71       0.00      22.14       0.00       4.02       4.80       0.00     801.43      12.02       2.53      31.97       0.00       0.00       0.00       0.00      11.90       5.99
    903.81     853.72       0.00      22.14       0.00       4.04       4.80       0.00     801.44      12.02       2.53      31.97       0.00       0.00       0.00       0.00      11.90       5.99
    911.39     860.81       0.00      22.36       0.00       4.06       4.85       0.00     808.08      12.14       2.56      32.22       0.00       0.00       0.00       0.00      12.02       6.06
    911.81     860.94       0.00      22.58       0.00       4.10       4.85       0.00     808.09      12.24       2.56      32.22       0.00       0.00       0.00       0.00      12.02       6.11
    911.94     861.03       0.00      22.58       0.00       4.13       4.86       0.00     808.11      12.24       2.56      32.29       0.00       0.00       0.00       0.00      12.02       6.11
    911.99     861.05       0.00      22.58       0.00       4.15       4.86       0.00     808.11      12.24       2.56      32.29       0.00       0.00       0.00       0.00      12.02       6.11
    919.53     868.10       0.00      22.80       0.00       4.18       4.91       0.00     814.72      12.35       2.59      32.54       0.00       0.00       0.00       0.00      12.14       6.18
    919.95     868.23       0.00      23.01       0.00       4.21       4.91       0.00     814.73      12.46       2.59      32.54       0.00       0.00       0.00       0.00      12.14       6.23
    920.10     868.34       0.00      23.01       0.00       4.25       4.91       0.00     814.75      12.46       2.59      32.62       0.00       0.00       0.00       0.00      12.14       6.23
    920.16     868.36       0.00      23.01       0.00       4.27       4.92       0.00     814.75      12.46       2.59      32.62       0.00       0.00       0.00       0.00      12.14       6.23
    927.62     875.34       0.00      23.24       0.00       4.29       4.97       0.00     821.33      12.57       2.62      32.84       0.00       0.00       0.00       0.00      12.26       6.30
    928.03     875.46       0.00      23.44       0.00       4.32       4.97       0.00     821.34      12.67       2.62      32.84       0.00       0.00       0.00       0.00      12.26       6.35
    928.08     875.47       0.00      23.44       0.00       4.36       4.97       0.00     821.34      12.67       2.62      32.84       0.00       0.00       0.00       0.00      12.26       6.35
    928.13     875.49       0.00      23.44       0.00       4.39       4.98       0.00     821.34      12.67       2.62      32.84       0.00       0.00       0.00       0.00      12.26       6.35
    928.31     875.63       0.00      23.44       0.00       4.42       4.98       0.00     821.37      12.67       2.62      32.94       0.00       0.00       0.00       0.00      12.26       6.35
