
Begin Step 0, Time: 0.02, Redshift: 49, Systemstep: 0, Dloga: 0
Begin Step 190, Time: 0.11954, Redshift: 7.36542, Systemstep: 0.000228123, Dloga: 0.00191017

Begin Step 191, Time: 0.119768, Redshift: 7.34945, Systemstep: 0.000228559, Dloga: 0.00191017

Begin Step 192, Time: 0.119997, Redshift: 7.33352, Systemstep: 0.000228996, Dloga: 0.00191017

Begin Step 193, Time: 0.120457, Redshift: 7.30174, Systemstep: 0.000459307, Dloga: 0.00382033

Begin Step 194, Time: 0.120918, Redshift: 7.27009, Systemstep: 0.000461065, Dloga: 0.00382033

Begin Step 195, Time: 0.121381, Redshift: 7.23855, Systemstep: 0.00046283, Dloga: 0.00382033

Begin Step 196, Time: 0.121845, Redshift: 7.20714, Systemstep: 0.000464601, Dloga: 0.00382033

Begin Step 197, Time: 0.122311, Redshift: 7.17585, Systemstep: 0.000466379, Dloga: 0.00382033

Begin Step 198, Time: 0.12278, Redshift: 7.14467, Systemstep: 0.000468165, Dloga: 0.00382033

Begin Step 199, Time: 0.12325, Redshift: 7.11362, Systemstep: 0.000469957, Dloga: 0.00382033

Begin Step 200, Time: 0.123721, Redshift: 7.08268, Systemstep: 0.000471755, Dloga: 0.00382033

Begin Step 201, Time: 0.124195, Redshift: 7.05186, Systemstep: 0.000473561, Dloga: 0.00382033

Begin Step 202, Time: 0.12467, Redshift: 7.02116, Systemstep: 0.000475374, Dloga: 0.00382033

Begin Step 203, Time: 0.125148, Redshift: 6.99057, Systemstep: 0.000477193, Dloga: 0.00382033

Begin Step 204, Time: 0.125627, Redshift: 6.9601, Systemstep: 0.00047902, Dloga: 0.00382033

Begin Step 205, Time: 0.126107, Redshift: 6.92975, Systemstep: 0.000480853, Dloga: 0.00382033

Begin Step 206, Time: 0.12659, Redshift: 6.89951, Systemstep: 0.000482694, Dloga: 0.00382033

Begin Step 207, Time: 0.127075, Redshift: 6.86939, Systemstep: 0.000484541, Dloga: 0.00382033

Begin Step 208, Time: 0.127561, Redshift: 6.83939, Systemstep: 0.000486396, Dloga: 0.00382033

Begin Step 209, Time: 0.128049, Redshift: 6.80949, Systemstep: 0.000488258, Dloga: 0.00382033

Begin Step 210, Time: 0.128539, Redshift: 6.77972, Systemstep: 0.000490127, Dloga: 0.00382033

Begin Step 211, Time: 0.129031, Redshift: 6.75005, Systemstep: 0.000492003, Dloga: 0.00382033

Begin Step 212, Time: 0.129525, Redshift: 6.7205, Systemstep: 0.000493886, Dloga: 0.00382033

Begin Step 213, Time: 0.129773, Redshift: 6.70577, Systemstep: 0.000247651, Dloga: 0.00191017

Begin Step 214, Time: 0.130021, Redshift: 6.69106, Systemstep: 0.000248125, Dloga: 0.00191017

Begin Step 215, Time: 0.13027, Redshift: 6.67638, Systemstep: 0.000248599, Dloga: 0.00191017

Begin Step 216, Time: 0.130519, Redshift: 6.66174, Systemstep: 0.000249075, Dloga: 0.00191017

Begin Step 217, Time: 0.130768, Redshift: 6.64711, Systemstep: 0.000249551, Dloga: 0.00191017

Begin Step 218, Time: 0.131018, Redshift: 6.63252, Systemstep: 0.000250028, Dloga: 0.00191017

Begin Step 219, Time: 0.131269, Redshift: 6.61796, Systemstep: 0.000250506, Dloga: 0.00191017

Begin Step 220, Time: 0.13152, Redshift: 6.60342, Systemstep: 0.000250985, Dloga: 0.00191017

Begin Step 221, Time: 0.131771, Redshift: 6.58891, Systemstep: 0.000251465, Dloga: 0.00191017

Begin Step 222, Time: 0.132023, Redshift: 6.57443, Systemstep: 0.000251946, Dloga: 0.00191017

Begin Step 223, Time: 0.132276, Redshift: 6.55997, Systemstep: 0.000252427, Dloga: 0.00191017

Begin Step 224, Time: 0.132529, Redshift: 6.54554, Systemstep: 0.00025291, Dloga: 0.00191017

Begin Step 225, Time: 0.132782, Redshift: 6.53114, Systemstep: 0.000253394, Dloga: 0.00191017

Begin Step 226, Time: 0.133036, Redshift: 6.51677, Systemstep: 0.000253878, Dloga: 0.00191017

Begin Step 227, Time: 0.13329, Redshift: 6.50243, Systemstep: 0.000254364, Dloga: 0.00191017

Begin Step 228, Time: 0.133545, Redshift: 6.48811, Systemstep: 0.00025485, Dloga: 0.00191017

Begin Step 229, Time: 0.1338, Redshift: 6.47382, Systemstep: 0.000255337, Dloga: 0.00191017

Begin Step 230, Time: 0.134056, Redshift: 6.45956, Systemstep: 0.000255825, Dloga: 0.00191017

Begin Step 231, Time: 0.134313, Redshift: 6.44532, Systemstep: 0.000256315, Dloga: 0.00191017

Begin Step 232, Time: 0.134569, Redshift: 6.43111, Systemstep: 0.000256805, Dloga: 0.00191017

Begin Step 233, Time: 0.134827, Redshift: 6.41693, Systemstep: 0.000257296, Dloga: 0.00191017

Begin Step 234, Time: 0.135084, Redshift: 6.40278, Systemstep: 0.000257788, Dloga: 0.00191017

Begin Step 235, Time: 0.135343, Redshift: 6.38865, Systemstep: 0.00025828, Dloga: 0.00191017

Begin Step 236, Time: 0.135601, Redshift: 6.37455, Systemstep: 0.000258774, Dloga: 0.00191017
